,AGE,GENDER,DOMAIN,PHD,YEARSEXP,UNIVERSITY,UOC_POSITION,OTHER_POSITION,OTHERSTATUS,USERWIKI,PU1,PU2,PU3,PEU1,PEU2,PEU3,ENJ1,ENJ2,QU1,QU2,QU3,QU4,QU5,VIS1,VIS2,VIS3,IM1,IM2,IM3,SA1,SA2,SA3,USE1,USE2,USE3,USE4,USE5,PF1,PF2,PF3,JR1,JR2,BI1,BI2,INC1,INC2,INC3,INC4,EXP1,EXP2,EXP3,EXP4,EXP5
0,40,0,2.0,1,14.0,1,2.0,,,0.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,2.0
1,42,0,5.0,1,18.0,1,2.0,,,0.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0
2,37,0,4.0,1,13.0,1,3.0,,,0.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,1.0,3.0
3,40,0,4.0,0,13.0,1,3.0,,,0.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0
4,51,0,6.0,0,8.0,1,3.0,,,1.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0
6,43,0,4.0,0,11.0,1,3.0,,,0.0,4.0,4.0,4.0,5.0,,5.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,2.0,2.0
7,55,0,6.0,0,12.0,1,3.0,,,0.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0
8,54,0,1.0,1,14.0,1,2.0,,,0.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,1.0,1.0,4.0,4.0,5.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,1.0,1.0
9,50,0,4.0,1,25.0,1,2.0,,,0.0,4.0,4.0,4.0,5.0,5.0,,5.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,,3.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,1.0,5.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,1.0,1.0
10,40,0,4.0,1,13.0,1,2.0,,,1.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0
11,48,0,6.0,0,25.0,1,3.0,,,0.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0,1.0
12,38,0,6.0,1,15.0,1,2.0,,,0.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,1.0,3.0
13,56,0,6.0,1,13.0,1,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,,4.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0
14,44,0,4.0,1,15.0,1,2.0,,,1.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0
15,39,0,6.0,1,12.0,1,2.0,,,0.0,3.0,3.0,3.0,5.0,4.0,,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
16,40,0,4.0,1,18.0,1,2.0,,,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,1.0,5.0
17,51,0,6.0,1,20.0,1,2.0,,,0.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0
18,39,0,4.0,0,12.0,1,4.0,,,1.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0
19,33,0,6.0,1,5.0,1,2.0,,,0.0,2.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,1.0,2.0
20,36,0,6.0,1,10.0,1,3.0,,,0.0,4.0,2.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,1.0,5.0
21,45,0,6.0,1,15.0,1,2.0,,,0.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0
